"season","team","champion"
"2000                                              ",Los Angeles Lakers                                ,WEST
"2001                                              ",Los Angeles Lakers                                ,WEST
"2002                                              ",Los Angeles Lakers                                ,WEST
"2003                                              ",San Antonio Spurs                                 ,WEST
"2004                                              ",Detroit Pistons                                   ,EAST
"2005                                              ",San Antonio Spurs                                 ,WEST
"2006                                              ",Miami Heat                                        ,EAST
"2007                                              ",San Antonio Spurs                                 ,WEST
"2008                                              ",Boston Celtics                                    ,EAST
"2009                                              ",Los Angeles Lakers                                ,WEST
"2010                                              ",Los Angeles Lakers                                ,WEST
"2011                                              ",Dallas Mavericks                                  ,WEST
"2012                                              ",Miami Heat                                        ,EAST
"2013                                              ",Miami Heat                                        ,EAST
"2014                                              ",San Antonio Spurs                                 ,WEST
"2015                                              ",Golden State Warriors                             ,WEST
"2016                                              ",Golden State Warriors                             ,WEST
"2017                                              ",Cleveland Cavaliers                               ,EAST
"2018                                              ",Golden State Warriors                             ,WEST
"2019                                              ",Toronto Raptors                                   ,EAST
"2020                                              ",Los Angeles Lakers                                ,WEST
"2021                                              ",Milwaukee Bucks                                   ,EAST
"2022                                              ",Golden State Warriors                             ,WEST
