"season","conference","team","w","l"
"2000                                              ",EAST,Indiana Pacers                                    ,56.00000,26.00000
"2000                                              ",EAST,Chicago Bulls                                     ,17.00000,65.00000
"2000                                              ",EAST,Miami Heat                                        ,52.00000,30.00000
"2000                                              ",EAST,Detroit Pistons                                   ,42.00000,40.00000
"2000                                              ",EAST,Orlando Magic                                     ,41.00000,41.00000
"2000                                              ",EAST,Brooklyn Nets                                     ,31.00000,51.00000
"2000                                              ",EAST,Toronto Raptors                                   ,45.00000,37.00000
"2000                                              ",EAST,Atlanta Hawks                                     ,28.00000,54.00000
"2000                                              ",EAST,Charlotte Hornets                                 ,49.00000,33.00000
"2000                                              ",EAST,Cleveland Cavaliers                               ,32.00000,50.00000
"2000                                              ",EAST,Philadelphia 76ers                                ,49.00000,33.00000
"2000                                              ",EAST,Boston Celtics                                    ,35.00000,47.00000
"2000                                              ",EAST,New York Knicks                                   ,50.00000,32.00000
"2000                                              ",EAST,Washington Wizards                                ,29.00000,53.00000
"2000                                              ",EAST,Milwaukee Bucks                                   ,42.00000,40.00000
"2000                                              ",WEST,Sacramento Kings                                  ,44.00000,38.00000
"2000                                              ",WEST,Golden State Warriors                             ,19.00000,63.00000
"2000                                              ",WEST,Memphis Grizzlies                                 ,22.00000,60.00000
"2000                                              ",WEST,San Antonio Spurs                                 ,53.00000,29.00000
"2000                                              ",WEST,Denver Nuggets                                    ,35.00000,47.00000
"2000                                              ",WEST,Houston Rockets                                   ,34.00000,48.00000
"2000                                              ",WEST,Portland Trail Blazers                            ,59.00000,23.00000
"2000                                              ",WEST,Utah Jazz                                         ,55.00000,27.00000
"2000                                              ",WEST,Dallas Mavericks                                  ,40.00000,42.00000
"2000                                              ",WEST,Los Angeles Lakers                                ,67.00000,15.00000
"2000                                              ",WEST,Oklahoma City Thunder                             ,45.00000,37.00000
"2000                                              ",WEST,Minnesota Timberwolves                            ,50.00000,32.00000
"2000                                              ",WEST,Los Angeles Clippers                              ,15.00000,67.00000
