"season","pace"
"2000                                              ",93.09
"2001                                              ",91.25
"2002                                              ",90.70
"2003                                              ",90.99
"2004                                              ",90.10
"2005                                              ",90.93
"2006                                              ",90.53
"2007                                              ",91.92
"2008                                              ",92.39
"2009                                              ",91.66
"2010                                              ",92.74
"2011                                              ",92.08
"2012                                              ",91.27
"2013                                              ",92.00
"2014                                              ",93.95
"2015                                              ",93.90
"2016                                              ",95.78
"2017                                              ",96.40
"2018                                              ",97.32
"2019                                              ",100.04
"2020                                              ",100.31
"2021                                              ",99.18
"2022                                              ",98.22
