seas_id,season,player_id,player,pos,age,experience,lg,tm,games,mp,fg_percent,avg_dist_fga,2p_fga_percent,3p_fga_percent,2p_fg_percent,3p_fg_percent
29648,2022,4219,Aaron Gordon,PF,26,8,NBA,DEN,75,2376,0.52,11.5,0.688,0.312,0.605,0.335
29649,2022,4899,Aaron Henry,SF,22,1,NBA,PHI,6,17,0.2,12,0.8,0.2,0.25,0
29650,2022,4582,Aaron Holiday,PG,25,4,NBA,TOT,63,1021,0.447,13.1,0.695,0.305,0.477,0.379
29651,2022,4582,Aaron Holiday,PG,25,4,NBA,WAS,41,663,0.467,12.9,0.687,0.313,0.524,0.343
29652,2022,4582,Aaron Holiday,PG,25,4,NBA,PHO,22,358,0.411,13.5,0.71,0.29,0.398,0.444
29653,2022,4805,Aaron Nesmith,SF,22,2,NBA,BOS,52,574,0.396,18.4,0.368,0.632,0.612,0.27
29654,2022,4900,Aaron Wiggins,SG,23,1,NBA,OKC,50,1209,0.463,12.7,0.591,0.409,0.573,0.304
29655,2022,4463,Abdel 0der,SF,28,5,NBA,PHO,14,145,0.343,12.9,0.6,0.4,0.381,0.286
29656,2022,4901,Ade Murkey,SG,24,1,NBA,SAC,1,1,0,0,0,0,0,0
29657,2022,4688,Admiral Schofield,SF,24,2,NBA,ORL,38,469,0.419,17.6,0.388,0.612,0.56,0.329
29658,2022,4902,Ahmad Caver,PG,25,1,NBA,IND,1,1,1,1.8,1,0,1,0
29659,2022,3734,Al Horford,C,35,15,NBA,BOS,69,2005,0.467,15.4,0.534,0.466,0.582,0.336
29660,2022,3982,Alec Burks,SG,30,11,NBA,NYK,81,2318,0.391,17.4,0.466,0.534,0.378,0.404
29661,2022,4903,Aleem Ford,SF,24,1,NBA,ORL,5,74,0.3,19.5,0.25,0.75,0.8,0.133
29662,2022,4806,Aleksej Pokusevski,PF,20,2,NBA,OKC,61,1233,0.408,14.6,0.568,0.432,0.498,0.289
29663,2022,4465,Alex Caruso,SG,27,5,NBA,CHI,41,1147,0.398,15.4,0.508,0.492,0.462,0.333
29664,2022,4142,Alex Len,C,28,9,NBA,SAC,39,620,0.534,7,0.881,0.119,0.568,0.286
29665,2022,4466,Alfonzo McKinnie,SF,29,5,NBA,CHI,17,206,0.393,14.1,0.557,0.443,0.441,0.333
29666,2022,4583,Alize Johnson,PF,25,4,NBA,TOT,23,167,0.436,6.2,0.897,0.103,0.486,0
29667,2022,4583,Alize Johnson,PF,25,4,NBA,CHI,16,121,0.522,6.6,0.913,0.087,0.571,0
29668,2022,4583,Alize Johnson,PF,25,4,NBA,WAS,3,18,0.333,9.7,0.667,0.333,0.5,0
29669,2022,4583,Alize Johnson,PF,25,4,NBA,NOP,4,28,0.3,3.2,1,0,0.3,0
29670,2022,4904,Alperen Şengün,C,19,1,NBA,HOU,72,1489,0.474,9,0.777,0.223,0.539,0.248
29671,2022,4690,Amir Coffey,SG,24,3,NBA,LAC,69,1567,0.453,16.8,0.455,0.545,0.542,0.378
29672,2022,4064,Andre Drummond,C,28,10,NBA,TOT,73,1437,0.57,2.8,0.993,0.007,0.574,0
29673,2022,4064,Andre Drummond,C,28,10,NBA,PHI,49,902,0.538,2.7,0.992,0.008,0.542,0
29674,2022,4064,Andre Drummond,C,28,10,NBA,BRK,24,535,0.61,3,0.995,0.005,0.613,0
29675,2022,3500,Andre Iguodala,SF,38,18,NBA,GSW,31,603,0.38,18.1,0.388,0.612,0.617,0.23
29676,2022,4223,Andrew Wiggins,SF,26,8,NBA,GSW,73,2329,0.466,14.9,0.608,0.392,0.513,0.393
29677,2022,4586,Anfernee Simons,SG,22,4,NBA,POR,57,1681,0.443,19,0.445,0.555,0.49,0.405
29678,2022,4066,Anthony Davis,C,28,10,NBA,LAL,40,1404,0.532,9.6,0.899,0.101,0.571,0.186
29679,2022,4808,Anthony Edwards,SG,20,2,NBA,MIN,72,2466,0.441,15.2,0.516,0.484,0.519,0.357
29680,2022,4809,Anthony Gill,PF,29,2,NBA,WAS,44,463,0.569,9.2,0.761,0.239,0.578,0.538
29681,2022,4810,Anthony Lamb,SF,24,2,NBA,SAS,2,8,0,27.1,0,1,0,0
29682,2022,4811,Armoni Brooks,SG-PG,23,2,NBA,TOT,54,844,0.339,23.4,0.138,0.862,0.6,0.297
29683,2022,4811,Armoni Brooks,SG,23,2,NBA,HOU,41,690,0.347,23.2,0.151,0.849,0.605,0.3
29684,2022,4811,Armoni Brooks,PG,23,2,NBA,TOR,13,154,0.289,24.7,0.053,0.947,0.5,0.278
29685,2022,4905,Arnoldas Kulboka,SF,24,1,NBA,CHO,2,5,0,23.4,0,1,0,0
29686,2022,4906,Austin Reaves,SG,23,1,NBA,LAL,61,1418,0.459,16.6,0.475,0.525,0.616,0.317
29687,2022,4069,Austin Rivers,SG,29,10,NBA,DEN,67,1480,0.417,17.9,0.34,0.66,0.563,0.342
29688,2022,3918,Avery Bradley,SG,31,12,NBA,LAL,62,1406,0.423,18.1,0.4,0.6,0.471,0.39
29689,2022,4907,Ayo Dosunmu,SG,22,1,NBA,CHI,77,2110,0.52,12.3,0.652,0.348,0.596,0.376
29690,2022,4588,B.J. Johnson,SF,26,3,NBA,ORL,4,65,0.44,16.9,0.6,0.4,0.467,0.4
29691,2022,4472,Bam Adebayo,C,24,5,NBA,MIA,56,1825,0.557,7,0.992,0.008,0.562,0
29692,2022,4148,Ben McLemore,SG,28,9,NBA,POR,64,1285,0.401,21.9,0.226,0.774,0.533,0.362
29693,2022,3984,Bismack Biyombo,C,29,11,NBA,PHO,36,506,0.593,4.3,1,0,0.593,0
29694,2022,3920,Blake Griffin,PF,32,12,NBA,BRK,56,958,0.425,13.5,0.537,0.463,0.565,0.262
29695,2022,4306,Boban Marjanović,C,33,7,NBA,DAL,23,128,0.6,7,0.943,0.057,0.621,0.25
29696,2022,4307,Bobby Portis,C,26,7,NBA,MIL,72,2028,0.479,14.5,0.612,0.388,0.533,0.393
29697,2022,4475,Bogdan Bogdanović,SG,29,5,NBA,ATL,63,1848,0.431,19.2,0.422,0.578,0.516,0.368
29698,2022,4224,Bojan Bogdanović,PF,32,8,NBA,UTA,69,2131,0.455,15.6,0.496,0.504,0.524,0.387
29699,2022,4692,Bol Bol,PF,22,3,NBA,DEN,14,81,0.556,10.6,0.852,0.148,0.609,0.25
29700,2022,4908,Bones Hyland,PG,21,1,NBA,DEN,69,1310,0.403,19.4,0.373,0.627,0.465,0.366
29701,2022,4591,Brad Wa0maker,PG,32,4,NBA,TOT,23,320,0.364,13.4,0.779,0.221,0.4,0.235
29702,2022,4591,Brad Wa0maker,PG,32,4,NBA,IND,22,293,0.361,13.3,0.764,0.236,0.4,0.235
29703,2022,4591,Brad Wa0maker,PG,32,4,NBA,WAS,1,27,0.4,14.7,1,0,0.4,0
29704,2022,4072,Bradley Beal,SG,28,10,NBA,WAS,40,1439,0.451,13.1,0.728,0.272,0.508,0.3
29705,2022,4909,Brandon Boston Jr.,SG,20,1,NBA,LAC,51,760,0.385,14.7,0.658,0.342,0.425,0.306
29706,2022,4693,Brandon Clarke,PF,25,3,NBA,MEM,64,1246,0.644,5.4,0.951,0.049,0.666,0.227
29707,2022,4592,Brandon Goodwin,PG,26,4,NBA,CLE,36,502,0.416,13.9,0.643,0.357,0.455,0.345
29708,2022,4379,Brandon Ingram,SF,24,6,NBA,NOP,55,1869,0.461,14.6,0.77,0.23,0.501,0.327
29709,2022,3985,Brandon Knight,PG,30,9,NBA,DAL,5,65,0.4,19.4,0.32,0.68,0.75,0.235
29710,2022,4910,Brandon Williams,PG,22,1,NBA,POR,24,640,0.372,14.1,0.624,0.376,0.42,0.292
29711,2022,4911,Braxton Key,SF,24,1,NBA,TOT,11,197,0.458,11,0.708,0.292,0.529,0.286
29712,2022,4911,Braxton Key,SF,24,1,NBA,PHI,2,6,0.5,12.7,0.5,0.5,1,0
29713,2022,4911,Braxton Key,SF,24,1,NBA,DET,9,191,0.457,11,0.714,0.286,0.52,0.3
29714,2022,4813,Brodric Thomas,SG,25,2,NBA,BOS,12,60,0.444,14.5,0.5,0.5,0.667,0.222
29715,2022,3801,Brook Lopez,C,33,14,NBA,MIL,13,298,0.466,13.2,0.595,0.405,0.538,0.358
29716,2022,4594,Bruce Brown,SF,25,4,NBA,BRK,72,1774,0.506,8.4,0.814,0.186,0.529,0.404
29717,2022,4695,Bruno Fer0ndo,C,23,3,NBA,TOT,30,152,0.655,7,0.964,0.036,0.66,0.5
29718,2022,4695,Bruno Fer0ndo,C,23,3,NBA,BOS,20,58,0.5,17.9,0.929,0.071,0.462,1
29719,2022,4695,Bruno Fer0ndo,C,23,3,NBA,HOU,10,94,0.707,3.2,0.976,0.024,0.725,0
29720,2022,4381,Bryn Forbes,SG,28,6,NBA,TOT,75,1286,0.429,19.5,0.453,0.547,0.447,0.414
29721,2022,4381,Bryn Forbes,SG,28,6,NBA,SAS,40,676,0.432,18.9,0.49,0.51,0.448,0.417
29722,2022,4381,Bryn Forbes,SG,28,6,NBA,DEN,35,610,0.424,20.2,0.407,0.593,0.444,0.41
29723,2022,4382,Buddy Hield,SG,29,6,NBA,TOT,81,2499,0.406,19.7,0.348,0.652,0.482,0.366
29724,2022,4382,Buddy Hield,SG,29,6,NBA,SAC,55,1574,0.382,20.8,0.286,0.714,0.419,0.368
29725,2022,4382,Buddy Hield,SG,29,6,NBA,IND,26,925,0.447,17.7,0.454,0.546,0.549,0.362
29726,2022,3582,C.J. Miles,SG,34,16,NBA,BOS,1,2,0,0,0,0,0,0
29727,2022,4912,Cade Cunningham,PG,20,1,NBA,DET,64,2088,0.416,13.8,0.648,0.352,0.472,0.314
29728,2022,4696,Caleb Martin,SF,26,3,NBA,MIA,60,1372,0.507,12.6,0.622,0.378,0.565,0.413
29729,2022,4697,Cam Reddish,SF,22,3,NBA,TOT,49,1012,0.404,15.7,0.549,0.451,0.442,0.359
29730,2022,4697,Cam Reddish,SF,22,3,NBA,ATL,34,797,0.402,15.8,0.554,0.446,0.421,0.379
29731,2022,4697,Cam Reddish,SF,22,3,NBA,NYK,15,215,0.415,15.1,0.523,0.477,0.559,0.258
29732,2022,4913,Cam Thomas,SG,20,1,NBA,BRK,67,1176,0.433,16,0.654,0.346,0.52,0.27
29733,2022,4698,Cameron Johnson,PF,25,3,NBA,PHO,66,1730,0.46,18.6,0.356,0.644,0.523,0.425
29734,2022,4914,Cameron McGriff,SF,24,1,NBA,POR,3,46,0.357,13,0.571,0.429,0.375,0.333
29735,2022,4814,Cameron Oliver,SF,25,2,NBA,ATL,2,43,0.667,7.8,0.8,0.2,0.75,0.333
29736,2022,4311,Cameron Payne,PG,27,7,NBA,PHO,58,1278,0.409,13.8,0.641,0.359,0.449,0.336
29737,2022,4383,Caris LeVert,SG,27,6,NBA,TOT,58,1781,0.444,12.8,0.7,0.3,0.497,0.32
29738,2022,4383,Caris LeVert,SG,27,6,NBA,IND,39,1214,0.447,13,0.696,0.304,0.501,0.323
29739,2022,4383,Caris LeVert,SG,27,6,NBA,CLE,19,567,0.435,12.4,0.711,0.289,0.485,0.313
29740,2022,4915,Carlik Jones,PG,24,1,NBA,TOT,5,23,0.111,10.1,0.889,0.111,0.125,0
29741,2022,4915,Carlik Jones,PG,24,1,NBA,DAL,3,19,0,10,0.857,0.143,0,0
29742,2022,4915,Carlik Jones,PG,24,1,NBA,DEN,2,4,0.5,10.2,1,0,0.5,0
29743,2022,3435,Carmelo Anthony,PF,37,19,NBA,LAL,69,1793,0.441,19.1,0.451,0.549,0.521,0.375
29744,2022,4699,Carsen Edwards,SG,23,3,NBA,DET,4,79,0.3,17.6,0.467,0.533,0.357,0.25
29745,2022,4815,Cassius Stanley,SG,22,2,NBA,DET,9,155,0.413,12.5,0.63,0.37,0.517,0.235
29746,2022,4816,Cassius Winston,PG,23,2,NBA,WAS,7,39,0.364,19.1,0.455,0.545,0.4,0.333
29747,2022,4916,Cat Barber,PG,27,1,NBA,ATL,3,13,0,9.6,1,0,0,0
29748,2022,4479,Cedi Osman,SF,26,5,NBA,CLE,66,1462,0.432,17.9,0.372,0.628,0.559,0.357
29749,2022,4596,Chandler Hutchison,SF,25,4,NBA,PHO,6,22,0.5,5,1,0,0.5,0
29750,2022,4917,Charles Bassey,PF,21,1,NBA,PHI,23,168,0.638,5.6,0.915,0.085,0.698,0
29751,2022,4700,Charlie Brown,SG,24,3,NBA,TOT,22,177,0.256,11,0.692,0.308,0.333,0.083
29752,2022,4700,Charlie Brown,SG,24,3,NBA,DAL,3,15,0.2,17.2,0.4,0.6,0.5,0
29753,2022,4700,Charlie Brown,SG,24,3,NBA,PHI,19,162,0.265,10,0.735,0.265,0.32,0.111
29754,2022,4918,Chaundee Brown Jr.,SG-SF,23,1,NBA,TOT,5,104,0.313,17.9,0.438,0.563,0.286,0.333
29755,2022,4918,Chaundee Brown Jr.,SF,23,1,NBA,LAL,2,21,0.143,13.2,0.571,0.429,0.25,0
29756,2022,4918,Chaundee Brown Jr.,SG,23,1,NBA,ATL,3,83,0.36,19.2,0.4,0.6,0.3,0.4
29757,2022,4385,Cheick Diallo,C,25,5,NBA,DET,3,31,0.375,3.1,1,0,0.375,0
29758,2022,4597,Chimezie Metu,C,24,4,NBA,SAC,60,1279,0.452,14,0.586,0.414,0.555,0.306
29759,2022,4481,Chris Boucher,PF,29,5,NBA,TOR,80,1690,0.464,12.1,0.603,0.397,0.575,0.297
29760,2022,4598,Chris Chiozza,PG,26,4,NBA,GSW,34,372,0.296,19.4,0.346,0.654,0.25,0.321
29761,2022,4919,Chris Duarte,SG,24,1,NBA,IND,55,1541,0.432,15.5,0.589,0.411,0.475,0.369
29762,2022,3585,Chris Paul,PG,36,17,NBA,PHO,65,2139,0.493,16.4,0.73,0.27,0.559,0.317
29763,2022,4702,Chris Silva,PF,25,3,NBA,TOT,10,91,0.533,4,1,0,0.533,0
29764,2022,4702,Chris Silva,PF,25,3,NBA,MIN,1,3,0,0,0,0,0,0
29765,2022,4702,Chris Silva,PF,25,3,NBA,MIA,9,88,0.533,4,1,0,0.533,0
29766,2022,4313,Christian Wood,C,26,6,NBA,HOU,68,2094,0.501,13,0.617,0.383,0.57,0.39
29767,2022,4817,Chuma Okeke,PF,23,2,NBA,ORL,70,1749,0.376,18.6,0.355,0.645,0.48,0.318
29768,2022,4818,CJ Elleby,SF,21,2,NBA,POR,58,1174,0.393,13.4,0.591,0.409,0.462,0.294
29769,2022,4154,CJ McCollum,SG,30,9,NBA,TOT,62,2145,0.46,16.2,0.597,0.403,0.509,0.388
29770,2022,4154,CJ McCollum,SG,30,9,NBA,POR,36,1267,0.436,16.7,0.565,0.435,0.476,0.384
29771,2022,4154,CJ McCollum,SG,30,9,NBA,NOP,26,878,0.493,15.6,0.639,0.361,0.549,0.394
29772,2022,4230,Clint Capela,C,27,8,NBA,ATL,74,2042,0.613,2.5,0.998,0.002,0.614,0
29773,2022,4703,Coby White,PG,21,3,NBA,CHI,61,1675,0.433,17.4,0.452,0.548,0.491,0.385
29774,2022,4704,Cody Martin,SF,26,3,NBA,CHO,71,1866,0.482,12.1,0.624,0.376,0.542,0.384
29775,2022,4155,Cody Zeller,C,29,9,NBA,POR,27,355,0.567,3.7,0.956,0.044,0.593,0
