"season","team","abbreviation","playoffs","w","l","mov","o_rtg","d_rtg","n_rtg","pace","f_tr","ts_percent","e_fg_percent","tov_percent","orb_percent","ft_fga","opp_e_fg_percent","opp_tov_percent","opp_drb_percent","opp_ft_fga","championship","conference"
"2021                                              ",Chicago Bulls                                     ,CHI       ,FALSE,31.00000,41.00000,-0.89000,111.10000,112.00000,-0.90000,99.00000,0.19700,0.57500,0.54700,13.60000,22.30000,0.15600,0.53800,11.60000,80.30000,0.19600,FALSE,EAST
"2022                                              ",Phoenix Suns                                      ,PHO       ,TRUE,64.00000,18.00000,7.50000,114.80000,107.30000,7.50000,99.80000,0.22100,0.58100,0.54900,11.60000,22.30000,0.17600,0.51000,13.00000,77.10000,0.19500,FALSE,WEST
"2022                                              ",Portland Trail Blazers                            ,POR       ,FALSE,27.00000,55.00000,-8.88000,107.80000,116.90000,-9.10000,98.30000,0.24800,0.55000,0.51500,13.00000,22.90000,0.18800,0.55900,12.70000,76.90000,0.22200,FALSE,WEST
"2022                                              ",Sacramento Kings                                  ,SAC       ,FALSE,30.00000,52.00000,-5.46000,109.90000,115.30000,-5.40000,99.80000,0.26400,0.56100,0.52500,12.50000,21.30000,0.20300,0.55100,11.90000,76.00000,0.17600,FALSE,WEST
"2022                                              ",San Antonio Spurs                                 ,SAS       ,FALSE,34.00000,48.00000,0.12000,112.40000,112.30000,0.10000,100.00000,0.22000,0.55600,0.52700,11.10000,23.70000,0.16600,0.53200,12.10000,75.10000,0.17600,FALSE,WEST
"2022                                              ",Toronto Raptors                                   ,TOR       ,TRUE,48.00000,34.00000,2.29000,112.90000,110.50000,2.40000,96.00000,0.23400,0.54300,0.51000,11.00000,28.40000,0.17700,0.53500,14.40000,75.60000,0.19900,FALSE,EAST
"2022                                              ",Utah Jazz                                         ,UTA       ,TRUE,49.00000,33.00000,6.04000,116.70000,110.50000,6.20000,97.10000,0.27100,0.58900,0.55500,12.70000,25.40000,0.20800,0.52100,10.90000,78.30000,0.16400,FALSE,WEST
"2022                                              ",Washington Wizards                                ,WAS       ,FALSE,35.00000,47.00000,-3.38000,111.10000,114.50000,-3.40000,97.00000,0.25200,0.56800,0.53200,12.10000,20.90000,0.19700,0.52900,10.70000,76.90000,0.20200,FALSE,EAST
"2020                                              ",Atlanta Hawks                                     ,ATL       ,FALSE,20.00000,47.00000,-7.97000,107.20000,114.80000,-7.60000,103.00000,0.25800,0.55400,0.51500,13.80000,21.60000,0.20400,0.54300,12.70000,74.90000,0.23300,FALSE,EAST
"2020                                              ",Boston Celtics                                    ,BOS       ,TRUE,48.00000,24.00000,6.31000,113.30000,107.00000,6.30000,99.50000,0.25900,0.57000,0.53100,12.20000,23.90000,0.20700,0.50900,13.50000,77.40000,0.21500,FALSE,EAST
"2020                                              ",Brooklyn Nets                                     ,BRK       ,TRUE,35.00000,37.00000,-0.57000,108.90000,109.50000,-0.60000,101.40000,0.26700,0.55400,0.52000,13.10000,23.20000,0.19900,0.51100,11.00000,77.80000,0.18700,FALSE,EAST
"2020                                              ",Chicago Bulls                                     ,CHI       ,FALSE,22.00000,43.00000,-3.08000,106.70000,109.80000,-3.10000,99.70000,0.23100,0.54700,0.51500,13.70000,22.80000,0.17500,0.54600,16.30000,75.60000,0.23900,FALSE,EAST
"2020                                              ",Charlotte Hornets                                 ,CHO       ,FALSE,23.00000,42.00000,-6.75000,106.30000,113.30000,-7.00000,95.80000,0.25200,0.53900,0.50400,13.30000,23.90000,0.18800,0.54600,13.10000,74.40000,0.15900,FALSE,EAST
"2020                                              ",Cleveland Cavaliers                               ,CLE       ,FALSE,19.00000,46.00000,-7.89000,107.50000,115.40000,-7.90000,98.70000,0.22700,0.55300,0.52200,14.60000,24.60000,0.17200,0.56000,11.70000,77.40000,0.16400,FALSE,EAST
